Module 5.6 - The Fundamental Theorem of Calculus Copyedit and Additional Reviews,,,,,,,,,Adjustment Actions (not for reviewers),,,
Review,Lesson,Section,Question Set (If Applicable),Question # and Type (If Applicable),"Location

Part, caption, location in question","Issue

Refer to specific text where possible.","Recommended Edit

Add actionable guidance where possible.",,OS: Category,OS: Assignee,OS: Status,Assignee Notes and Resolution Confirmation
Copyedit,5.6.1,Animated Figure,,1: MC,Embedded question prompt,Prompt is in the form of a question instead of a statement. <question>How many liters of water is in the tank after 3\text{ minutes?}</question>,"Rewrite question into statement form if possible, such as: After <m>3\text{ minutes,}</m> <m>\underline{\phantom{XXXXXX}}</m> <m>\text{liters}</m> of water is in the tank.",,Content Change,Author,Open,
Copyedit,5.6.1,Animated Figure,,2: MC,Embedded question prompt,"Should a \ be added before the comma between the 2 and the dt in the following? F(x) = \int_0^x 2,dt\text{,}","If appropriate, add \ before the comma between the 2 and dt:  F(x) = \int_0^x 2\,dt\text{,}",,Content Change,Author,Open,
Copyedit,5.6.1,Animated Figure,,2: SA,Embedded question Hint 1 and Explanation,"Question hint and explanation both refer to the ""Fundamental Theorem of Calculus Part 1,"" which students do not learn until the next lesson.",Rewrite Hint 1 and Explanation if appropriate.,,Content Change,Author,Open,
Copyedit,5.6.3,Framing Text,,,"Framing text, last sentence","The end of the sentence is unclear (see bold): In this lesson, we will explore how to use the FTC together with the chain rule to find derivatives of integrals with upper a function as an upper limit.",Revise sentence for clarity.,,Content Change,Author,Open,
Copyedit,5.6.3,Framing Text,,,Framing text,Should the chain rule be defined/redefined within the framing text?,Add definition if appropriate.,,Content Change,Author,Open,
Copyedit,5.6.3,Follow-Up Question,QS3,1: MC,Options 1 and 2 Explanation,"To what does ""property"" refer? The word ""property"" hasn't been used in this lesson so far. Will students understand what property means in this context? (term appears in other questions/explanations throughout the module; if adjusted here, please search and adjust elsewhere as well)","Replace the word property if appropriate, x2.",,Content Change,Author,Open,
Copyedit,5.6.3,Follow-Up Question,QS3,1: MC,Option 1 Explanation,"Uses the term ""splitting""; will students know what this means in this context?",Replace the word splitting if appropriate.,,Content Change,Author,Open,
Copyedit,5.6.4,Follow-Up Question,QS1,1: MC,"Option 3 Explanation, second sentence","Can ""its"" be replaced with f(x)'s in the following sentence? The Fundamental Theorem of Calculus, Part 2 connects the definite integral of f(x) with the values of its antiderivative at the endpoints.","Replace ""its"" with ""f(x)'s"" if appropriate: The Fundamental Theorem of Calculus, Part 2 connects the definite integral of f(x) with the values of f(x)'s antiderivative at the endpoints.",,Content Change,Author,Open,
Copyedit,5.6.5,Animated Figure,,,Graphs,Missing labels for x- and y-axes in both graphs.,Add x- and y-axes labels in graphs in animated figure.,,Other/Unknown,CTDs,Open,
Copyedit,5.6.5,Animated Figure,,,Scene 2 at 0:26 and Scene 4 at 1:26,"Missing periods at end of sentences at the bottom of left and right columns in the animated figure, i.e., If f is even/odd...",Add periods to sentences at the bottom of left and right columns in the animated figure.,,Other/Unknown,CTDs,Open,
Copyedit,5.6.5,Animated Figure,,2: MC,"Embedded Question 2, Option 2 Explanation, second sentence","To what is ""it"" referring in the following sentence? We need to double it because f is even.","Replace ""it"" for clarity.",,Content Change,Author,Open,
Copyedit,5.6.5,Follow-Up Question,QS3,2: SA,"Prompt, first sentence","The use ""part"" is confusing here, since it makes me think of the FTC Part 1 or Part 2. Can ""part"" be replaced with ""problem"" or ""question"" in the following? ""In the previous part, we considered the integral of the odd function f(x) = 2x over the interval [-5, 5]\text{.}""","Replace ""part"" with ""question"" or ""problem"" or ""question set"" as appropriate: ""In the previous question, ...""",,Content Change,Author,Open,
Copyedit,5.6.6,Homework Problem,QS4,1: RSA,Hint 1,"As noted earlier, will students understand what ""split"" means in this context? If replaced earlier in the lesson, replace here as well.",Replace the word split if appropriate.,,Content Change,Author,Open,
Copyedit,5.6.6,Homework Problem,QS4,1: RSA,Explanation,"Will students know ""the sum property of integrals""? A google search doesn't net any results. Does this go by another name, like ""sum rule""?","Replace ""the sum property of integrals"" if appropriate. Note that it is referred to a ""property"" later in the explanation as well, so a second change would be necessary",,Content Change,Author,Open,
Copyedit,5.6.1,Framing Text,,,,Reading level is 11.09. ,"If possible, simplify vocabulary and senence construction to bring this down to within desired 8-10th grade level range.",,Content Change,Author,Open,
Copyedit,5.6.1,Animated Figure,,,,Animated figure has 5 pause breaks but only two embedded questions.,Confirm breaks are placed appropriately; adjust if needed.,,Other/Unknown,CTDs,Open,
Copyedit,5.6.2,Framing Text,,,,"Final sentence describes theorem as ""Fundamental Theorem of Calculus (FTC)"" but rest of lesson describes it as ""Fundamental Theorem of Calculus, Part 1"" and the abbreviation ""FTC"" only appears in one follow up question.","Replace ""Fundamental Theorem of Calculus (FTC)"" with ""Fundamental Theorem of Calculus, Part 1"" if appropriate.",,Content Change,Author,Open,
Copyedit,5.6.2,Animated Figure,,,,Animated figure has 4 pause breaks but only two embedded questions.,Confirm breaks are placed appropriately; adjust if needed.,,Other/Unknown,CTDs,Open,
Copyedit,5.6.3,Animated Figure,,,,Animated figure has 4 pause breaks but only two embedded questions.,Confirm breaks are placed appropriately; adjust if needed.,,Other/Unknown,CTDs,Open,
Copyedit,5.6.4,Animated Figure,,,,Animated figure has 3 pause breaks but only two embedded questions.,Confirm breaks are placed appropriately; adjust if needed.,,Other/Unknown,CTDs,Open,
Copyedit,5.6.5,Follow-Up Question,QS1,3: MC,All answer choice explanations,The graphs shown in all answer choice explanations for this question contain color (blue) and appear to be slightly different in design from the style of graphs used in previous similar questions.,Please review and confirm graph style is acceptable or replace if needed.,,Other/Unknown,Author,Open,
Copyedit,All Lessons,,,,Global,"""Fundamental Theorem of Calculus"" appears in several different ways in this module (with and without ""Part 1"", with and without a comma before ""Part 1""). All are similar and corrections may not be required, but consider reviewing for consistency. (The same does not appear to be an issue for references Part 2.)","Review and update all instances of ""Fundamental Theorem of Calculus, Part 1"" for consistency if appropriate.",,Content Change,Author,Open,
Copyedit,5.6.6,Homework Problem,QS5,3: SA,"Stem, hint, and explanation","the spacing command "";"" is showing as text in all parts of this question.","Adjust LaTex to fixing spacing; remove "";"" from integrals",,XML Fix,CTDs,Open,